USB Outlet Extender Surge Protector - with Rotating Plug 6 AC Multi Plug Outlet and 3 USB Ports (1 USB C) 1800 Joules 3-Sided Swivel Power Strip with Spaced Outlet Splitter for Home Office Travel,$15.99 
GE 24-Hour Heavy Duty Indoor Plug-in Mechanical Timer 2 Grounded Outlets 30 Minute Intervals Daily On/Off Cycle for Lamps Seasonal Christmas Tree Lights and Holiday Decorations 15075,$6.39 
Smart Plug Amysen - A Certified & Alexa Echo & Google Home – Only WiFi 2.4G (4- Pack),$21.97 
POWRUI Surge Protector USB Wall Charger with 2 USB Charging Ports(Smart 2.4A Total) 6-Outlet Extender and Top Phone Holder for Your Cell Phone White ETL Listed,$11.02 
GE Grounding Paddle Rocker Switch 3 Way In Wall On/Off Power Switch Replacement for Ceiling Fans & Lights 15 Amp Great for Home Office & Kitchen UL Listed White 18233,$1.97 
"VELCRO Brand Cable Ties 100Pk - 8 x 1/2"" Red and Black Reusable Alternative to Zip Ties ONE-WRAP Thin Pre-Cut Cord Organization Straps Wire Management for Office or Home VEL-30200-AMS Black/Red",$10.60 
BN-LINK Compact Outdoor Mechanical 24 Hour Programmable Dual Outlet Timer - Plugin timer Waterproof Heavy Duty,$13.99 
Power Strip with 3 USB Ports TESSAN 5 ft Extension Cord Flat Plug with 4 Outlets Overload Protection Indoor Desk Charging Station Mountable Compact for Travel Cruise Ship and Dorm Essentials,$16.99 
Lutron DVCL-153P-AL LED+ Dimmer Switch 1 Pack Almond,$22.20 
Kasa Smart Plug Mini with Energy Monitoring Smart Home Wi-Fi Outlet Works with Alexa Google Home & IFTTT Wi-Fi Simple Setup No Hub Required (KP115) White – A Certified for Humans Device,$22.99 
GE 6-Outlet Surge Protector 10 Ft Extension Cord Power Strip 800 Joules Flat Plug Twist-to-Close Safety Covers UL Listed White 14092,$15.87 
Wapodeai 3PCS Electrical Tape Flame Retardant Indoor Outdoor High Temperature Resistance Electric Tape Premium Black Waterproof Tape 0.62 in X 49 ft,$5.29 
